,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
7,1,,,8.5,,,,16,1,2.5,3,
8,,,,,2,,4.5,,,,7,
9,3,,7,,1,,,1.5,,,4.5,4
10,12,,18.5,,,,12,,,,,6
11,18,,2.5,,,,4,,,,19.5,6.5
12,3,,,,,,1,8,,,4,
13,5,,,,1.5,,,4.5,49.5,,,18
14,,,,,8,,,6.5,,,3,
15,23.5,,7.5,,5,3,,,,2,3,9
16,6.5,,3.5,,16,,,2,,2.5,,
17,,,,3,13,,,,,,3.5,3
18,,,,7,,,,5,,,5,
19,,,,,,4,,,,,,1.5
20,,,,14,,1,,,,,3.5,
21,,,7,4,,,,4,,12.5,2,
22,,,5.5,8.5,9.5,,,,,,,
23,,,12,6,,,,,1.5,,6.5,
24,,4.5,6,1,20,,,8,,8.5,26.5,
25,,,,,,,1,,,,2.5,
26,,5,13,,18.5,,,,,,,
27,,9.5,,,,,,,,12,,
28,,,4.5,6.5,18.5,,6,,,17,4.5,
29,,1,,10,15,,,,,13.5,2,
30,9,,14,17.5,,,,,,9,18,
31,6,,3.5,,,,,,,,,
1,,,,,,,8.5,19,,,6.5,
2,,,,,,,7,,4.75,,11,3.5
3,,,2,,,,1.5,,,,8,
4,,7,14.5,1.5,,,,1,4.75,,1,9
5,,3,6,,,,,,,17.5,7,3.5
6,3.5,18.5,,,,5,,8.5,,9,4,10
7,,4.5,2,,,7,1,,,14.5,,
8,,3.5,5.5,6,2,18,,,,5,30.5,10
9,,11.5,,,,13,,,,3,5,
10,,6.5,,9,,15,,,,4,7.5,5.5
11,,,2.5,,,,,2,,3,2,
12,,,,,16.5,2,4,,,,,
13,3,,,,4,,,0.5,,,11.5,
14,,,,,,,1.5,,,,21.5,
15,,,,20,4,,,,4,,5.5,
16,,,,1,,,1.5,,5.25,,1.5,
17,2.5,,,,5,,2,,1.5,,,
18,5,,,,,,,,,,,25
19,10,,,,3,,,,4.25,,,5
20,,,,,,,4.5,,,3.5,6,17.5
21,,,,,,,3,,,2.5,3,
22,5,,,,,,1,,,4.5,5.5,1.5
23,10,,,,3,,8,,,,5.5,6.5
24,22.5,,,,,,6.5,5,,6,,10
25,11.5,,,4.5,13.5,13,,,,,6.5,
26,7,,,,7,,,1.5,,,2,
27,3,,2.5,12.5,,,6,0.5,,,5,1
28,24,,11,8,,,,,,,5.5,
29,1,,,,,,9,,,,8,14
30,,,,12.5,,,,,,,9,8.5
31,,,,,,,,,,,,3
1,5,,,,,8.5,,,,14,1.5,
2,3,,,6.5,6,,,,,8.5,,
3,,2,,,2,,,,,,,
4,,,,13.5,,,,6.5,,26,,22
5,,3.5,,,,,1.5,,,,,
6,,8.5,,,,3,,,8,22.5,,5
7,,,,1.5,,,,1.5,,,18,1.5
8,11,,,,,,,,12,,8,
9,,,,,,2.5,,,1,,,
10,13.5,2,,,,,,12.5,,,6.5,
11,,,,,4,13,2,1.5,,,,
12,,2.5,2,,,,2,1.5,,,9.5,
13,6,,,,,,,,,,42.5,
14,3,,,,,4,2,10,,,14.5,
15,,2.5,,,,,,,2.5,,,
16,,,,,,,8.5,,,,,
17,4.5,,,,,,,,,,3.5,
18,,2.5,,,,,,,,,,
19,,4,3,,,1,,,,,,
20,7,,,,,,,,,7,,30
21,,,,,,,6,,,,1.5,1.5
22,2.5,,,,,,7,,,,6,
23,,9,,,,,,4,9,,5,
24,2,16.5,,,,,,1.5,3,9.5,10,
25,5,10,6,,4,,1,,,,13.5,
26,,10.5,,,32,,,,,,9,
27,,12,5.5,,13,,,12.5,,,,
28,2,46.5,2.5,,,,,,,,5.5,6
29,8,,2.5,1,,,3,,,,,0.5
30,9,,,,2,,,,13.5,,,
31,,,3,,5.5,,1,,,,,
1,,0.5,0.5,,6,,,,,,,22
2,,,,,17,,,1.25,,,,11.5
3,1,2.5,,,8,,,,,,26,2
4,,,,4,,,,14,3.5,,0.5,
